id,category,segment,serviceKey,propertyType,propertyKey,premise,sizeKey,variant,variantKey,service,plan,planKey,planType,duration,experts,price,serviceDescription,included,notIncluded
APT_1RK_FURNISHED_ESSENTIAL,Cleaning Services,Residential,full_home_cleaning,Apartment,apartment,1RK,1rk,Furnished,furnished,Full Home Cleaning,Essential Care,essential_care,care,4-5 Hrs,2,2499,"Complete basic deep cleaning of a furnished 1RK apartment covering floors, kitchen, bathroom, and all accessible surfaces. This plan is ideal for regular maintenance cleaning using professional tools and safe chemicals to remove dust, light stains, and dirt buildup.","Floor sweeping and mopping
Basic kitchen cleaning (platform, sink, exterior cabinets)
Bathroom cleaning (tiles, floor, fittings)
Dust removal from furniture and surfaces
Window and glass basic cleaning (accessible areas)
Cobweb removal
Dry and wet wiping of reachable areas","Chimney cleaning
Fridge interior cleaning
Sofa and mattress shampooing
Deep stain removal or hard chemical treatment
Inside cabinet cleaning (full emptying)
Balcony deep cleaning (if heavily soiled)
Any add-on services (available at extra cost)"
APT_1RK_FURNISHED_PREMIUM,Cleaning Services,Residential,full_home_cleaning,Apartment,apartment,1RK,1rk,Furnished,furnished,Full Home Cleaning,Premium Care,premium_care,care,5-7 Hrs,2,3699,"Complete advanced deep cleaning of a furnished 1RK apartment with maximum attention to detail, hygiene, and finishing. This high-end plan includes intensive cleaning using professional-grade equipment and strong treatment methods to remove tough stains, grease, and hidden dirt, ensuring a near-new look and superior cleanliness.","Machine-based floor scrubbing and polishing
Detailed kitchen deep cleaning (platform, sink, exterior cabinets, grease removal)
Bathroom intensive cleaning (tiles, floor, fittings, limescale and stain removal)
Deep dust removal from furniture, surfaces, and corners
Glass and window detailed cleaning (accessible areas)
Cobweb removal from all corners
Wet and dry wiping of all reachable areas
Advanced stain removal treatment
Final finishing and touch-up cleaning","Chimney cleaning
Fridge interior cleaning
Sofa and mattress shampooing
Inside cabinet emptying and internal deep cleaning
Heavy damage restoration or repair work
Balcony deep cleaning (if heavily soiled)
All add-on services (available separately)"
APT_1RK_UNFURNISHED_MOVE,Cleaning Services,Residential,full_home_cleaning,Apartment,apartment,1RK,1rk,Unfurnished,unfurnished,Full Home Cleaning,Essential Move,essential_move,move,3-4 Hrs,2,2199,"Basic deep cleaning of an unfurnished 1RK apartment before or after moving. This plan focuses on cleaning empty spaces including floors, kitchen, and bathroom to remove dust, dirt, and light stains, making the house ready for immediate use or handover.","Floor sweeping and mopping (entire empty space)
Kitchen cleaning (platform, sink, empty cabinets exterior and interior basic wipe)
Bathroom cleaning (tiles, floor, fittings)
Dust removal from walls, corners, and surfaces
Window and glass cleaning (accessible areas)
Cobweb removal
Dry and wet wiping of empty surfaces
Basic cleaning of doors and switches","Deep stain removal or heavy chemical treatment
Chimney cleaning
Fridge interior cleaning
Sofa and mattress shampooing
Painting or repair work
Balcony or external area deep cleaning (if heavily soiled)
All add-on services (available separately)"
APT_1RK_UNFURNISHED_PREMIUM_MOVE,Cleaning Services,Residential,full_home_cleaning,Apartment,apartment,1RK,1rk,Unfurnished,unfurnished,Full Home Cleaning,Premium Move,premium_move,move,4-5 Hrs,2,3199,"Complete basic deep cleaning of a unfurnished 1RK apartment covering floors, kitchen, bathroom, and all accessible surfaces. This plan is ideal for regular maintenance cleaning using professional tools and safe chemicals to remove dust, light stains, and dirt buildup.","Floor sweeping and mopping (entire empty space)
Kitchen cleaning (platform, sink, empty cabinets exterior and interior basic wipe)
Bathroom cleaning (tiles, floor, fittings)
Dust removal from walls, corners, and surfaces
Window and glass cleaning (accessible areas)
Cobweb removal
Dry and wet wiping of empty surfaces
Basic cleaning of doors and switches","Deep stain removal or heavy chemical treatment
Chimney cleaning
Fridge interior cleaning
Sofa and mattress shampooing
Painting or repair work
Balcony or external area deep cleaning (if heavily soiled)
All add-on services (available separately)"
APT_1BHK_FURNISHED_ESSENTIAL,Cleaning Services,Residential,full_home_cleaning,Apartment,apartment,1BHK,1bhk,Furnished,furnished,Full Home Cleaning,Essential Care,essential_care,care,4-6 Hrs,3,4699,"Complete basic deep cleaning of a furnished 1BHK apartment covering floors, kitchen, bathroom, and all accessible surfaces. This plan is ideal for regular maintenance cleaning using professional tools and safe chemicals to remove dust, light stains, and dirt buildup.","Floor sweeping and mopping
Basic kitchen cleaning (platform, sink, exterior cabinets)
Bathroom cleaning (tiles, floor, fittings)
Dust removal from furniture and surfaces
Window and glass basic cleaning (accessible areas)
Cobweb removal
Dry and wet wiping of reachable areas","Chimney cleaning
Fridge interior cleaning
Sofa and mattress shampooing
Deep stain removal or hard chemical treatment
Inside cabinet cleaning (full emptying)
Balcony deep cleaning (if heavily soiled)
Any add-on services (available at extra cost)"
APT_1BHK_FURNISHED_PREMIUM,Cleaning Services,Residential,full_home_cleaning,Apartment,apartment,1BHK,1bhk,Furnished,furnished,Full Home Cleaning,Premium Care,premium_care,care,5-7 Hrs,3,5699,"Complete advanced deep cleaning of a furnished 1BHK apartment with maximum attention to detail, hygiene, and finishing. This high-end plan includes intensive cleaning using professional-grade equipment and strong treatment methods to remove tough stains, grease, and hidden dirt, ensuring a near-new look and superior cleanliness.","Machine-based floor scrubbing and polishing
Detailed kitchen deep cleaning (platform, sink, exterior cabinets, grease removal)
Bathroom intensive cleaning (tiles, floor, fittings, limescale and stain removal)
Deep dust removal from furniture, surfaces, and corners
Glass and window detailed cleaning (accessible areas)
Cobweb removal from all corners
Wet and dry wiping of all reachable areas
Advanced stain removal treatment
Final finishing and touch-up cleaning","Chimney cleaning
Fridge interior cleaning
Sofa and mattress shampooing
Inside cabinet emptying and internal deep cleaning
Heavy damage restoration or repair work
Balcony deep cleaning (if heavily soiled)
All add-on services (available separately)"
APT_1BHK_FURNISHED_PLATINUM,Cleaning Services,Residential,full_home_cleaning,Apartment,apartment,1BHK,1bhk,Furnished,furnished,Full Home Cleaning,Platinum Care,platinum_care,care,6-8 Hrs,3,6800,"Complete platinum deep cleaning of a furnished 1BHK apartment with detailed attention to kitchen, bathroom, floors, and all surfaces. This plan includes intensive cleaning using advanced tools and stronger treatment methods to remove tough stains, grease, and deep dirt buildup. Ideal for homes requiring thorough cleaning and better hygiene results.","Deep floor scrubbing and mopping
Detailed kitchen cleaning (platform, sink, exterior cabinets, grease removal)
Bathroom deep cleaning (tiles, floor, fittings, limescale removal)
Furniture and surface deep dusting
Window and glass cleaning (accessible areas)
Cobweb removal
Wet wiping of all reachable surfaces
Basic stain removal treatment","Chimney cleaning
Fridge interior cleaning
Sofa and mattress shampooing
Inside cabinet emptying and deep cleaning
Heavy stain or damage restoration
Balcony deep cleaning (if heavily soiled)
All add-on services (available separately)"
APT_1BHK_UNFURNISHED_MOVE,Cleaning Services,Residential,full_home_cleaning,Apartment,apartment,1BHK,1bhk,Unfurnished,unfurnished,Full Home Cleaning,Essential Move,essential_move,move,4-6 Hrs,2,4299,"Basic deep cleaning of an unfurnished 1BHK apartment before or after moving. This plan focuses on cleaning empty spaces including floors, kitchen, and bathroom to remove dust, dirt, and light stains, making the house ready for immediate use or handover.","Floor sweeping and mopping (entire empty space)
Kitchen cleaning (platform, sink, empty cabinets exterior and interior basic wipe)
Bathroom cleaning (tiles, floor, fittings)
Dust removal from walls, corners, and surfaces
Window and glass cleaning (accessible areas)
Cobweb removal
Dry and wet wiping of empty surfaces
Basic cleaning of doors and switches","Deep stain removal or heavy chemical treatment
Chimney cleaning
Fridge interior cleaning
Sofa and mattress shampooing
Painting or repair work
Balcony or external area deep cleaning (if heavily soiled)
All add-on services (available separately)"
APT_1BHK_UNFURNISHED_PREMIUM_MOVE,Cleaning Services,Residential,full_home_cleaning,Apartment,apartment,1BHK,1bhk,Unfurnished,unfurnished,Full Home Cleaning,Premium Move,premium_move,move,5-7 Hrs,2,5199,"Complete advanced deep cleaning of an unfurnished 1BHK apartment before or after shifting. This high-end move cleaning plan focuses on intensive cleaning of empty spaces using professional equipment and strong treatment methods to remove tough stains, grease, and accumulated dirt, ensuring a hygienic and ready-to-move-in home.","Machine-based floor scrubbing and mopping across all areas
Deep kitchen cleaning (platform, sink, interior and exterior cabinets)
Advanced bathroom cleaning (tiles, fittings, limescale and stain removal)
Detailed cleaning of walls, corners, and edges
Window and glass cleaning (accessible areas)
Cobweb removal from all sections
Wet and dry wiping of all surfaces including doors and switches
Strong stain and grease removal treatment
Final finishing and touch-up cleaning","Chimney cleaning
Fridge interior cleaning
Sofa and mattress shampooing
Heavy damage repair or restoration work
Painting or polishing work
Balcony or terrace deep cleaning (if heavily soiled)
All add-on services (available separately)"
APT_2BHK_FURNISHED_ESSENTIAL,Cleaning Services,Residential,full_home_cleaning,Apartment,apartment,2BHK,2bhk,Furnished,furnished,Full Home Cleaning,Essential Care,essential_care,care,4-6 Hrs,3,5499,"Complete basic deep cleaning of a furnished 2BHK apartment covering floors, kitchen, bathroom, and all accessible surfaces. This plan is ideal for regular maintenance cleaning using professional tools and safe chemicals to remove dust, light stains, and dirt buildup.","Floor sweeping and mopping
Basic kitchen cleaning (platform, sink, exterior cabinets)
Bathroom cleaning (tiles, floor, fittings)
Dust removal from furniture and surfaces
Window and glass basic cleaning (accessible areas)
Cobweb removal
Dry and wet wiping of reachable areas","Chimney cleaning
Fridge interior cleaning
Sofa and mattress shampooing
Deep stain removal or hard chemical treatment
Inside cabinet cleaning (full emptying)
Balcony deep cleaning (if heavily soiled)
Any add-on services (available at extra cost)"
