id,category,service,serviceKey,plan,planKey,planType,addonName,addonKey,price,unit,duration,experts,description
FULLHOME_ESSENTIAL_CARE_EXTRA_KITCHEN,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Care,essential_care,care,Extra Kitchen,extra_kitchen,899,per unit,60 mins,1,"Deep cleaning of additional kitchen area including platform, sink, and surface cleaning"
FULLHOME_ESSENTIAL_CARE_EXTRA_ROOM,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Care,essential_care,care,Extra Room,extra_room,599,per unit,60 mins,1,"Deep cleaning of additional room including dust removal, floor cleaning, and surface wiping"
FULLHOME_ESSENTIAL_CARE_EXTRA_BATHROOM,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Care,essential_care,care,Extra Bathroom,extra_bathroom,449,per unit,60 mins,1,"Deep cleaning of additional bathroom including tiles, fittings, and floor cleaning"
FULLHOME_ESSENTIAL_CARE_UTENSIL_HANDLING,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Care,essential_care,care,Kitchen Utensil Handling,kitchen_utensil_handling,425,per unit,60 mins,1,Safe removal and placement of kitchen utensils before and after cleaning service
FULLHOME_ESSENTIAL_CARE_FRIDGE,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Care,essential_care,care,Fridge Interior Cleaning,fridge_interior_cleaning,375,per unit,60 mins,1,"Deep cleaning of fridge interior including trays, shelves, and odor removal"
FULLHOME_ESSENTIAL_CARE_CHIMNEY,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Care,essential_care,care,Chimney Cleaning,chimney_cleaning,399,per unit,60 mins,1,Removal of grease and oil buildup from chimney exterior surfaces
FULLHOME_ESSENTIAL_CARE_MICROWAVE,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Care,essential_care,care,Microwave Cleaning,microwave_cleaning,175,per unit,60 mins,1,"Interior cleaning of microwave to remove stains, grease, and odor"
FULLHOME_ESSENTIAL_CARE_MATTRESS,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Care,essential_care,care,Mattress Shampoo,mattress_shampoo,425,per unit,60 mins,1,"Wet shampoo cleaning of mattress to remove dust, stains, and allergens"
FULLHOME_ESSENTIAL_CARE_SOFA_3,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Care,essential_care,care,Sofa Shampoo 3 Seater,sofa_shampoo_3_seater,425,per unit,60 mins,1,Wet shampoo cleaning of 3 seater sofa for dirt and stain removal
FULLHOME_ESSENTIAL_CARE_SOFA_5,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Care,essential_care,care,Sofa Shampoo 5 Seater,sofa_shampoo_5_seater,625,per unit,60 mins,1,Deep shampoo cleaning of 5 seater sofa for thorough dirt and stain removal
